,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
489,2017.0,Pascal Siakam,PF,22.0,TOR,55.0,38.0,859.0,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,,0.4,1.2,1.6,0.089,,-3.0,1.8,-1.1,0.2,103.0,205.0,0.502,1.0,7.0,0.143,102.0,198.0,0.515,0.505,22.0,32.0,0.688,64.0,121.0,185.0,17.0,26.0,45.0,33.0,109.0,229.0
490,2017.0,Jonathon Simmons,SG,27.0,SAS,78.0,8.0,1392.0,9.9,0.504,0.242,0.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18.0,,-0.1,2.1,2.0,0.068,,-2.8,0.9,-1.9,0.0,177.0,421.0,0.42,30.0,102.0,0.294,147.0,319.0,0.461,0.456,99.0,132.0,0.75,20.0,140.0,160.0,126.0,47.0,25.0,76.0,146.0,483.0
491,2017.0,Kyle Singler,SF,28.0,OKC,32.0,2.0,385.0,5.9,0.486,0.446,0.205,2.3,11.5,6.9,3.2,0.9,1.0,10.8,11.2,,0.0,0.3,0.3,0.034,,-4.6,-1.3,-5.9,-0.4,34.0,83.0,0.41,7.0,37.0,0.189,27.0,46.0,0.587,0.452,13.0,17.0,0.765,8.0,40.0,48.0,9.0,7.0,5.0,11.0,29.0,88.0
492,2017.0,Marcus Smart,SG,22.0,BOS,79.0,24.0,2399.0,12.0,0.486,0.443,0.334,3.7,10.5,7.1,22.0,2.6,1.2,15.6,18.8,,0.5,2.7,3.2,0.064,,-1.1,0.9,-0.3,1.0,269.0,749.0,0.359,94.0,332.0,0.283,175.0,417.0,0.42,0.422,203.0,250.0,0.812,78.0,228.0,306.0,364.0,125.0,34.0,159.0,192.0,835.0
493,2017.0,Ish Smith,PG,28.0,DET,81.0,32.0,1955.0,14.7,0.477,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,,0.9,2.2,3.1,0.076,,-1.2,0.4,-0.8,0.6,329.0,749.0,0.439,28.0,105.0,0.267,301.0,644.0,0.467,0.458,72.0,102.0,0.706,21.0,214.0,235.0,418.0,61.0,33.0,112.0,127.0,758.0
494,2017.0,J.R. Smith,SG,31.0,CLE,41.0,35.0,1187.0,8.1,0.484,0.761,0.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,,0.1,0.8,0.8,0.034,,-0.5,-0.7,-1.3,0.2,123.0,356.0,0.346,95.0,271.0,0.351,28.0,85.0,0.329,0.479,10.0,15.0,0.667,17.0,96.0,113.0,62.0,40.0,11.0,26.0,77.0,351.0
495,2017.0,Jason Smith,C,30.0,WAS,74.0,3.0,1068.0,13.6,0.598,0.237,0.155,6.8,20.4,13.6,5.0,1.0,4.3,14.2,16.7,,1.0,1.3,2.3,0.103,,-2.0,0.6,-1.3,0.2,174.0,329.0,0.529,37.0,78.0,0.474,137.0,251.0,0.546,0.585,35.0,51.0,0.686,64.0,194.0,258.0,37.0,21.0,55.0,58.0,168.0,420.0
496,2017.0,Tony Snell,SG,25.0,MIL,80.0,80.0,2336.0,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,,2.1,1.3,3.4,0.071,,0.2,-1.1,-0.8,0.7,246.0,541.0,0.455,144.0,355.0,0.406,102.0,186.0,0.548,0.588,47.0,58.0,0.81,22.0,226.0,248.0,96.0,54.0,14.0,55.0,125.0,683.0
497,2017.0,Marreese Speights,C,29.0,LAC,82.0,2.0,1286.0,17.6,0.584,0.505,0.25,7.9,24.1,16.2,8.1,0.9,2.6,10.2,23.6,,2.5,1.7,4.2,0.156,,1.5,-0.8,0.7,0.9,244.0,548.0,0.445,103.0,277.0,0.372,141.0,271.0,0.52,0.539,120.0,137.0,0.876,88.0,285.0,373.0,66.0,23.0,41.0,69.0,229.0,711.0
498,2017.0,Tiago Splitter,C,32.0,PHI,8.0,0.0,76.0,15.0,0.544,0.194,0.355,11.6,20.3,15.9,8.9,0.6,1.0,14.3,23.9,,0.1,0.1,0.1,0.072,,-2.6,-2.4,-5.0,-0.1,14.0,31.0,0.452,2.0,6.0,0.333,12.0,25.0,0.48,0.484,9.0,11.0,0.818,8.0,14.0,22.0,4.0,1.0,1.0,6.0,8.0,39.0
499,2017.0,Nik Stauskas,SG,23.0,PHI,80.0,27.0,2188.0,9.0,0.54,0.566,0.237,1.1,10.3,5.7,12.9,1.0,1.2,15.5,16.4,,0.1,1.4,1.4,0.031,,-1.7,-0.7,-2.4,-0.2,251.0,634.0,0.396,132.0,359.0,0.368,119.0,275.0,0.433,0.5,122.0,150.0,0.813,21.0,205.0,226.0,188.0,45.0,32.0,128.0,144.0,756.0
500,2017.0,Lance Stephenson,SG,26.0,TOT,18.0,0.0,361.0,9.6,0.485,0.167,0.108,1.2,14.8,8.0,24.8,0.7,0.7,17.1,18.7,,-0.2,0.2,0.1,0.009,,-3.9,-1.5,-5.4,-0.3,54.0,120.0,0.45,6.0,20.0,0.3,48.0,100.0,0.48,0.475,8.0,13.0,0.615,4.0,48.0,52.0,59.0,5.0,3.0,26.0,32.0,122.0
501,2017.0,Lance Stephenson,SG,26.0,NOP,6.0,0.0,162.0,10.3,0.496,0.182,0.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19.0,,0.0,0.1,0.1,0.028,,-3.0,-1.9,-4.8,-0.1,26.0,55.0,0.473,1.0,10.0,0.1,25.0,45.0,0.556,0.482,5.0,8.0,0.625,3.0,15.0,18.0,29.0,2.0,1.0,11.0,18.0,58.0
502,2017.0,Lance Stephenson,SG,26.0,MIN,6.0,0.0,67.0,6.6,0.48,0.095,0.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-6.1,-3.1,-9.3,-0.1,10.0,21.0,0.476,0.0,2.0,0.0,10.0,19.0,0.526,0.476,1.0,2.0,0.5,0.0,10.0,10.0,5.0,0.0,0.0,4.0,2.0,21.0
503,2017.0,Lance Stephenson,SG,26.0,IND,6.0,0.0,132.0,10.3,0.474,0.182,0.068,0.9,19.3,10.2,28.1,1.1,1.3,19.5,19.1,,-0.1,0.1,0.0,0.012,,-4.0,-0.2,-4.2,-0.1,18.0,44.0,0.409,5.0,8.0,0.625,13.0,36.0,0.361,0.466,2.0,3.0,0.667,1.0,23.0,24.0,25.0,3.0,2.0,11.0,12.0,43.0
504,2017.0,Jarnell Stokes,C,23.0,DEN,2.0,0.0,7.0,31.5,0.798,0.0,2.0,15.9,15.6,15.8,40.1,7.0,0.0,0.0,11.4,,0.1,0.0,0.1,0.48,,11.8,3.6,15.4,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0
505,2017.0,Diamond Stone,C,19.0,LAC,7.0,0.0,24.0,-1.2,0.339,0.0,0.308,4.8,22.7,14.0,0.0,0.0,3.4,11.9,31.3,,-0.1,0.0,-0.1,-0.211,,-17.3,-6.9,-24.1,-0.1,3.0,13.0,0.231,0.0,0.0,,3.0,13.0,0.231,0.231,4.0,4.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,5.0,10.0
506,2017.0,Rodney Stuckey,PG,30.0,IND,39.0,0.0,696.0,9.5,0.483,0.246,0.439,1.0,12.4,6.8,17.7,1.2,0.0,15.4,22.2,,-0.5,0.4,-0.1,-0.006,,-3.8,-2.2,-6.0,-0.7,91.0,244.0,0.373,19.0,60.0,0.317,72.0,184.0,0.391,0.412,80.0,107.0,0.748,6.0,78.0,84.0,84.0,16.0,0.0,53.0,44.0,281.0
